"","age","minutes","lvalue","total_market_value","goals","assists","seleccion","pos_Defensa","pos_Delantero","pos_Medio Centro","pos_Portero","equipo_0","equipo_1","equipo_2","value"
"284",33,4375,1.6e+07,418250000,13,6,1,0,0,1,0,0,0,1,14333333.3333333
"285",33,2181,7500000,3.59e+08,0,1,1,1,0,0,0,1,0,0,4666666.66666667
"286",34,906,4666666.66666667,303600000,1,0,1,1,0,0,0,1,0,0,2166666.66666667
"287",31,3026,2250000,313400000,1,0,1,0,0,1,0,1,0,0,1500000
"288",32,1356,1500000,208980000,0,0,1,0,0,1,0,1,0,0,1500000
"289",22,855,2750000,113250000,0,1,1,0,1,0,0,1,0,0,2500000
"290",23,502,2500000,71880000,3,0,1,0,1,0,0,1,0,0,2250000
"291",25,731,2250000,104300000,3,5,1,0,1,0,0,1,0,0,1733333.33333333
"292",31,3133,6750000,303500000,0,4,1,0,0,1,0,1,0,0,5e+06
"293",32,2134,5e+06,244450000,0,3,1,0,0,1,0,1,0,0,4500000
"294",34,1487,4500000,207700000,1,0,1,0,0,1,0,1,0,0,2600000
"295",32,1838,875000,45330000,4,3,1,0,0,1,0,1,0,0,1333333.33333333
"296",33,814,1333333.33333333,48580000,0,4,1,0,0,1,0,1,0,0,1016666.66666667
"297",34,237,1016666.66666667,46630000,0,0,1,0,0,1,0,1,0,0,650000
"298",32,1602,450000,94950000,0,2,0,0,0,1,0,1,0,0,4e+05
"299",33,2075,4e+05,71780000,0,0,0,0,0,1,0,1,0,0,4e+05
"300",33,2001,2833333.33333333,207630000,12,3,1,0,1,0,0,1,0,0,2e+06
"301",34,1367,2e+06,217200000,9,4,1,0,1,0,0,1,0,0,1750000
"302",29,3330,6e+06,143750000,0,1,1,0,0,0,1,1,0,0,7e+06
"303",32,50,3166666.66666667,118200000,0,0,1,0,0,0,1,1,0,0,1750000
"304",32,297,7833333.33333333,930930000,0,0,1,0,1,0,0,0,1,0,1250000
"305",32,2438,2e+07,1e+09,2,4,1,1,0,0,0,1,0,0,10250000
"306",32,1800,1087500,91430000,0,0,1,0,0,0,1,1,0,0,1066666.66666667
"307",33,0,1066666.66666667,570480000,0,0,1,0,0,0,1,0,0,1,466666.666666667
"308",35,0,466666.666666667,574950000,0,0,1,0,0,0,1,0,0,1,325000
"309",35,0,1e+05,617930000,0,0,1,0,0,0,1,1,0,0,1e+05
"310",36,0,1e+05,606050000,0,0,1,0,0,0,1,1,0,0,1e+05
"311",34,1588,933333.333333333,242050000,1,0,1,1,0,0,0,1,0,0,650000
"312",35,1600,650000,167980000,0,2,1,1,0,0,0,1,0,0,5e+05
"313",37,293,5e+05,241740000,0,0,1,1,0,0,0,1,0,0,416666.666666667
"314",37,382,233333.333333333,242050000,0,0,1,0,0,0,1,1,0,0,150000
"315",38,450,150000,167980000,0,0,1,0,0,0,1,1,0,0,150000
"316",40,180,150000,241740000,0,0,1,0,0,0,1,1,0,0,150000
"317",39,2790,8e+05,54700000,0,0,0,0,0,0,1,1,0,0,8e+05
"318",34,1250,333333.333333333,54530000,0,0,1,1,0,0,0,1,0,0,3e+05
"319",35,1935,6666666.66666667,784880000,7,4,1,0,1,0,0,1,0,0,4e+06
"320",34,1170,1933333.33333333,459050000,0,0,1,0,0,0,1,0,0,1,9e+05
"321",35,602,9e+05,392730000,0,0,1,0,0,0,1,0,0,1,8e+05
